col_plot	samples_names	Locality	Station	Grab	Distance_cage_gps	Depth	pH	AMBI	NSI	ISI	NQI1
2	FHF2-St4-Gr2-B	Nedre Kvarv	4	2	640	332	7,55	2,40501	23,129113	10,131389	0,71325758
2	FHF2-St4-Gr2-C	Nedre Kvarv	4	2	640	332	7,55	2,40501	23,129113	10,131389	0,71325758
2	FHF2-St5-Gr1-A	Nedre Kvarv	5	1	1330	367	7,5	2,457237	23,359762	10,1164	0,7054365
2	FHF2-St5-Gr1-B	Nedre Kvarv	5	1	1330	367	7,5	2,457237	23,359762	10,1164	0,7054365
2	FHF2-St5-Gr1-C	Nedre Kvarv	5	1	1330	367	7,5	2,457237	23,359762	10,1164	0,7054365
2	FHF2-St5-Gr2-A	Nedre Kvarv	5	2	1330	367	7,5	1,676768	24,3209	9,505625	0,7685111
2	FHF2-St5-Gr2-B	Nedre Kvarv	5	2	1330	367	7,5	1,676768	24,3209	9,505625	0,7685111
2	FHF2-St5-Gr2-C	Nedre Kvarv	5	2	1330	367	7,5	1,676768	24,3209	9,505625	0,7685111
3	FHF3-St1-Gr1-A	Beitveitnes	1	1	0	98	7	5,980048	6,955049	5,076667	0,22835942
3	FHF3-St1-Gr1-B	Beitveitnes	1	1	0	98	7	5,980048	6,955049	5,076667	0,22835942
3	FHF3-St1-Gr1-C	Beitveitnes	1	1	0	98	7	5,980048	6,955049	5,076667	0,22835942
3	FHF3-St1-Gr2-A	Beitveitnes	1	2	0	98	7	5,99115	6,936928	5,026667	0,22984081
3	FHF3-St1-Gr2-B	Beitveitnes	1	2	0	98	7	5,99115	6,936928	5,026667	0,22984081
3	FHF3-St1-Gr2-C	Beitveitnes	1	2	0	98	7	5,99115	6,936928	5,026667	0,22984081
3	FHF3-St2-Gr1-A	Beitveitnes	2	1	75	83	7,65	5,96995	6,70786	5,023333	0,26616979
3	FHF3-St2-Gr1-B	Beitveitnes	2	1	75	83	7,65	5,96995	6,70786	5,023333	0,26616979
3	FHF3-St2-Gr1-C	Beitveitnes	2	1	75	83	7,65	5,96995	6,70786	5,023333	0,26616979
3	FHF3-St2-Gr2-A	Beitveitnes	2	2	75	83	7,65	5,987462	6,747947	6,818571	0,28898755
3	FHF3-St2-Gr2-B	Beitveitnes	2	2	75	83	7,65	5,987462	6,747947	6,818571	0,28898755
3	FHF3-St2-Gr2-C	Beitveitnes	2	2	75	83	7,65	5,987462	6,747947	6,818571	0,28898755
3	FHF3-St3-Gr1-A	Beitveitnes	3	1	150	85	7,6	5,835249	7,54903	6,245625	0,38802251
3	FHF3-St3-Gr1-B	Beitveitnes	3	1	150	85	7,6	5,835249	7,54903	6,245625	0,38802251
3	FHF3-St3-Gr1-C	Beitveitnes	3	1	150	85	7,6	5,835249	7,54903	6,245625	0,38802251
3	FHF3-St3-Gr2-A	Beitveitnes	3	2	150	85	7,6	5,675926	7,70011	6,527059	0,41152339
3	FHF3-St3-Gr2-B	Beitveitnes	3	2	150	85	7,6	5,675926	7,70011	6,527059	0,41152339
3	FHF3-St3-Gr2-C	Beitveitnes	3	2	150	85	7,6	5,675926	7,70011	6,527059	0,41152339
3	FHF3-St4-Gr1-A	Beitveitnes	4	1	430	126	7,65	2,2875	22,92487	8,845	0,75436801
3	FHF3-St4-Gr1-B	Beitveitnes	4	1	430	126	7,65	2,2875	22,92487	8,845	0,75436801
3	FHF3-St4-Gr1-C	Beitveitnes	4	1	430	126	7,65	2,2875	22,92487	8,845	0,75436801
3	FHF3-St4-Gr2-A	Beitveitnes	4	2	430	126	7,65	2,301915	23,126098	9,236271	0,75801854
3	FHF3-St4-Gr2-B	Beitveitnes	4	2	430	126	7,65	2,301915	23,126098	9,236271	0,75801854
3	FHF3-St4-Gr2-C	Beitveitnes	4	2	430	126	7,65	2,301915	23,126098	9,236271	0,75801854
3	FHF3-St5-Gr1-A	Beitveitnes	5	1	1110	273	7,55	2,301724	22,393325	10,212258	0,71180207
3	FHF3-St5-Gr1-B	Beitveitnes	5	1	1110	273	7,55	2,301724	22,393325	10,212258	0,71180207
3	FHF3-St5-Gr1-C	Beitveitnes	5	1	1110	273	7,55	2,301724	22,393325	10,212258	0,71180207
3	FHF3-St5-Gr2-A	Beitveitnes	5	2	1110	273	7,55	2,145051	22,172357	9,118276	0,72701156
3	FHF3-St5-Gr2-B	Beitveitnes	5	2	1110	273	7,55	2,145051	22,172357	9,118276	0,72701156
3	FHF3-St5-Gr2-C	Beitveitnes	5	2	1110	273	7,55	2,145051	22,172357	9,118276	0,72701156
4	FHF4-St1-Gr1-A	Storvika	1	1	0	139	7,5	5,981859	6,886257	5,021429	0,26867648
4	FHF4-St1-Gr1-B	Storvika	1	1	0	139	7,5	5,981859	6,886257	5,021429	0,26867648
4	FHF4-St1-Gr1-C	Storvika	1	1	0	139	7,5	5,981859	6,886257	5,021429	0,26867648
4	FHF4-St1-Gr2-A	Storvika	1	2	0	139	7,5	5,982851	6,894799	4,884286	0,2676752
4	FHF4-St1-Gr2-B	Storvika	1	2	0	139	7,5	5,982851	6,894799	4,884286	0,2676752
4	FHF4-St1-Gr2-C	Storvika	1	2	0	139	7,5	5,982851	6,894799	4,884286	0,2676752
4	FHF4-St2-Gr1-A	Storvika	2	1	68	134	7,65	4,700732	12,444033	7,464828	0,49915089
4	FHF4-St2-Gr1-B	Storvika	2	1	68	134	7,65	4,700732	12,444033	7,464828	0,49915089
4	FHF4-St2-Gr1-C	Storvika	2	1	68	134	7,65	4,700732	12,444033	7,464828	0,49915089
4	FHF4-St2-Gr2-A	Storvika	2	2	68	134	7,65	2,479452	21,296439	7,1	0,70316157
4	FHF4-St2-Gr2-B	Storvika	2	2	68	134	7,65	2,479452	21,296439	7,1	0,70316157
4	FHF4-St2-Gr2-C	Storvika	2	2	68	134	7,65	2,479452	21,296439	7,1	0,70316157
4	FHF4-St3-Gr1-A	Storvika	3	1	300	136	7,7	2,395864	22,000659	7,932632	0,6973454
4	FHF4-St3-Gr1-B	Storvika	3	1	300	136	7,7	2,395864	22,000659	7,932632	0,6973454
4	FHF4-St3-Gr1-C	Storvika	3	1	300	136	7,7	2,395864	22,000659	7,932632	0,6973454
4	FHF4-St3-Gr2-A	Storvika	3	2	300	136	7,7	2,429395	21,948994	7,77475	0,714983
4	FHF4-St3-Gr2-B	Storvika	3	2	300	136	7,7	2,429395	21,948994	7,77475	0,714983
4	FHF4-St3-Gr2-C	Storvika	3	2	300	136	7,7	2,429395	21,948994	7,77475	0,714983
4	FHF4-St4-Gr1-A	Storvika	4	1	610	190	7,5	2,026007	23,679515	9,903158	0,76534844
4	FHF4-St4-Gr1-B	Storvika	4	1	610	190	7,5	2,026007	23,679515	9,903158	0,76534844
4	FHF4-St4-Gr1-C	Storvika	4	1	610	190	7,5	2,026007	23,679515	9,903158	0,76534844
4	FHF4-St4-Gr2-A	Storvika	4	2	610	190	7,6	1,879653	23,706651	8,547179	0,77235842
4	FHF4-St4-Gr2-B	Storvika	4	2	610	190	7,6	1,879653	23,706651	8,547179	0,77235842
4	FHF4-St4-Gr2-C	Storvika	4	2	610	190	7,6	1,879653	23,706651	8,547179	0,77235842
4	FHF4-St5-Gr1-A	Storvika	5	1	900	195	7,5	1,955734	24,964253	10,297872	0,77905077
4	FHF4-St5-Gr1-B	Storvika	5	1	900	195	7,5	1,955734	24,964253	10,297872	0,77905077
4	FHF4-St5-Gr1-C	Storvika	5	1	900	195	7,5	1,955734	24,964253	10,297872	0,77905077
4	FHF4-St5-Gr2-A	Storvika	5	2	900	195	7,6	1,657426	25,408456	9,667414	0,83836987
4	FHF4-St5-Gr2-B	Storvika	5	2	900	195	7,6	1,657426	25,408456	9,667414	0,83836987
4	FHF4-St5-Gr2-C	Storvika	5	2	900	195	7,6	1,657426	25,408456	9,667414	0,83836987
5	FHF5-St1-Gr1-A	Aukrasanden	1	1	0	89	7,6	5,969388	6,86642	1,96	0,22117538
5	FHF5-St1-Gr1-B	Aukrasanden	1	1	0	89	7,6	5,969388	6,86642	1,96	0,22117538
5	FHF5-St1-Gr1-C	Aukrasanden	1	1	0	89	7,6	5,969388	6,86642	1,96	0,22117538
5	FHF5-St1-Gr2-A	Aukrasanden	1	2	0	89	7,6	5,968531	6,558873	1,96	0,19638299
5	FHF5-St1-Gr2-B	Aukrasanden	1	2	0	89	7,6	5,968531	6,558873	1,96	0,19638299
5	FHF5-St1-Gr2-C	Aukrasanden	1	2	0	89	7,6	5,968531	6,558873	1,96	0,19638299
5	FHF5-St2-Gr1-A	Aukrasanden	2	1	66	104	7,7				
5	FHF5-St2-Gr1-B	Aukrasanden	2	1	66	104	7,7				
5	FHF5-St2-Gr1-C	Aukrasanden	2	1	66	104	7,7				
5	FHF5-St2-Gr2-A	Aukrasanden	2	2	66	104	7,7				
5	FHF5-St2-Gr2-B	Aukrasanden	2	2	66	104	7,7				
5	FHF5-St2-Gr2-C	Aukrasanden	2	2	66	104	7,7				
5	FHF5-St3-Gr1-A	Aukrasanden	3	1	200	116	7,55				
5	FHF5-St3-Gr1-B	Aukrasanden	3	1	200	116	7,55				
5	FHF5-St3-Gr1-C	Aukrasanden	3	1	200	116	7,55				
5	FHF5-St3-Gr2-A	Aukrasanden	3	2	200	116	7,55				
5	FHF5-St3-Gr2-B	Aukrasanden	3	2	200	116	7,55				
5	FHF5-St3-Gr2-C	Aukrasanden	3	2	200	116	7,55				
5	FHF5-St4-Gr1-A	Aukrasanden	4	1	630	151	7,75	2,408922	23,976465	9,316667	0,7673336
5	FHF5-St4-Gr1-B	Aukrasanden	4	1	630	151	7,75	2,408922	23,976465	9,316667	0,7673336
5	FHF5-St4-Gr1-C	Aukrasanden	4	1	630	151	7,75	2,408922	23,976465	9,316667	0,7673336
5	FHF5-St4-Gr2-A	Aukrasanden	4	2	630	151	7,75	1,694056	24,631376	10,113947	0,8230826
5	FHF5-St4-Gr2-B	Aukrasanden	4	2	630	151	7,75	1,694056	24,631376	10,113947	0,8230826
5	FHF5-St4-Gr2-C	Aukrasanden	4	2	630	151	7,75	1,694056	24,631376	10,113947	0,8230826
5	FHF5-St5-Gr1-A	Aukrasanden	5	1	1530	168	7,7	1,30127	27,229417	9,946458	0,84029946
5	FHF5-St5-Gr1-B	Aukrasanden	5	1	1530	168	7,7	1,30127	27,229417	9,946458	0,84029946
5	FHF5-St5-Gr1-C	Aukrasanden	5	1	1530	168	7,7	1,30127	27,229417	9,946458	0,84029946
5	FHF5-St5-Gr2-A	Aukrasanden	5	2	1530	168	7,7	1,389163	25,81523	10,006346	0,86064016
5	FHF5-St5-Gr2-B	Aukrasanden	5	2	1530	168	7,7	1,389163	25,81523	10,006346	0,86064016
5	FHF5-St5-Gr2-C	Aukrasanden	5	2	1530	168	7,7	1,389163	25,81523	10,006346	0,86064016
