OTU_ID	Total_abund	FHF1-St1-Gr1-A	FHF1-St1-Gr1-B	FHF1-St1-Gr1-C	FHF1-St1-Gr2-A	FHF1-St1-Gr2-B	FHF1-St1-Gr2-C	FHF1-St2-Gr1-A	FHF1-St2-Gr1-B	FHF1-St2-Gr2-A	FHF1-St2-Gr2-B	FHF1-St2-Gr2-C	FHF1-St3-Gr1-A	FHF1-St3-Gr1-B	FHF1-St3-Gr1-C	FHF1-St3-Gr2-A	FHF1-St3-Gr2-B	FHF1-St3-Gr2-C	FHF1-St4-Gr1-A	FHF1-St4-Gr1-B	FHF1-St4-Gr1-C	FHF1-St4-Gr2-A	FHF1-St4-Gr2-B	FHF1-St4-Gr2-C	FHF2-St1-Gr1-A	FHF2-St1-Gr1-C	FHF2-St1-Gr2-A	FHF2-St1-Gr2-B	FHF2-St2-Gr1-A	FHF2-St2-Gr1-B	FHF2-St2-Gr1-C	FHF2-St2-Gr2-A	FHF2-St2-Gr2-B	FHF2-St2-Gr2-C	FHF2-St3-Gr1-A	FHF2-St3-Gr1-B	FHF2-St3-Gr1-C	FHF2-St3-Gr2-A	FHF2-St3-Gr2-B	FHF2-St3-Gr2-C	FHF2-St4-Gr1-A	FHF2-St4-Gr1-B	FHF2-St4-Gr1-C	FHF2-St4-Gr2-A	FHF2-St4-Gr2-B	FHF2-St4-Gr2-C	FHF2-St5-Gr1-A	FHF2-St5-Gr1-B	FHF2-St5-Gr1-C	FHF2-St5-Gr2-A	FHF2-St5-Gr2-B	FHF2-St5-Gr2-C	FHF3-St1-Gr1-A	FHF3-St1-Gr1-B	FHF3-St1-Gr1-C	FHF3-St1-Gr2-A	FHF3-St1-Gr2-B	FHF3-St1-Gr2-C	FHF3-St2-Gr1-A	FHF3-St2-Gr1-B	FHF3-St2-Gr1-C	FHF3-St2-Gr2-A	FHF3-St2-Gr2-B	FHF3-St2-Gr2-C	FHF3-St3-Gr1-A	FHF3-St3-Gr1-B	FHF3-St3-Gr1-C	FHF3-St3-Gr2-A	FHF3-St3-Gr2-B	FHF3-St3-Gr2-C	FHF3-St4-Gr1-A	FHF3-St4-Gr1-B	FHF3-St4-Gr1-C	FHF3-St4-Gr2-A	FHF3-St4-Gr2-B	FHF3-St4-Gr2-C	FHF3-St5-Gr1-A	FHF3-St5-Gr1-B	FHF3-St5-Gr1-C	FHF3-St5-Gr2-A	FHF3-St5-Gr2-B	FHF3-St5-Gr2-C	FHF4-St1-Gr1-A	FHF4-St1-Gr1-B	FHF4-St1-Gr1-C	FHF4-St1-Gr2-A	FHF4-St1-Gr2-B	FHF4-St1-Gr2-C	FHF4-St2-Gr1-A	FHF4-St2-Gr1-B	FHF4-St2-Gr1-C	FHF4-St2-Gr2-A	FHF4-St2-Gr2-B	FHF4-St2-Gr2-C	FHF4-St3-Gr1-A	FHF4-St3-Gr1-B	FHF4-St3-Gr1-C	FHF4-St3-Gr2-A	FHF4-St3-Gr2-B	FHF4-St3-Gr2-C	FHF4-St4-Gr1-A	FHF4-St4-Gr1-B	FHF4-St4-Gr1-C	FHF4-St4-Gr2-A	FHF4-St4-Gr2-B	FHF4-St4-Gr2-C	FHF4-St5-Gr1-A	FHF4-St5-Gr1-B	FHF4-St5-Gr1-C	FHF4-St5-Gr2-A	FHF4-St5-Gr2-B	FHF4-St5-Gr2-C	FHF5-St1-Gr1-A	FHF5-St1-Gr1-B	FHF5-St1-Gr1-C	FHF5-St1-Gr2-A	FHF5-St1-Gr2-B	FHF5-St1-Gr2-C	FHF5-St2-Gr1-A	FHF5-St2-Gr1-B	FHF5-St2-Gr1-C	FHF5-St2-Gr2-A	FHF5-St2-Gr2-B	FHF5-St2-Gr2-C	FHF5-St3-Gr1-A	FHF5-St3-Gr1-B	FHF5-St3-Gr1-C	FHF5-St3-Gr2-A	FHF5-St3-Gr2-B	FHF5-St3-Gr2-C	FHF5-St4-Gr1-A	FHF5-St4-Gr1-B	FHF5-St4-Gr1-C	FHF5-St4-Gr2-A	FHF5-St4-Gr2-B	FHF5-St4-Gr2-C	FHF5-St5-Gr1-A	FHF5-St5-Gr1-B	FHF5-St5-Gr1-C	FHF5-St5-Gr2-A	FHF5-St5-Gr2-B	FHF5-St5-Gr2-C	Taxa	order_orig
OTU2	48879	7	7	0	1	233	1	185	3	11	11	0	1148	471	377	2	1272	15	1	3567	10	26	43	5853	22	0	4	36	74	99	30	0	8	0	126	1	163	5	2	0	1	0	1	19	1	0	12	68	1	1	10	473	0	0	0	0	0	1	1	1	0	2	0	2	0	2	0	0	14	1	6	4	10	30	7	2	12	576	960	271	539	55	1	6	7	11	5	9	1	868	1818	1539	8719	3302	108	2	123	692	3	400	1408	8747	37	1161	941	1437	23	2	17	2	7	10	2	3	4	11	0	0	129	4	41	24	6	0	5	111	73	2	1	7	4	2	2	3	4	4	66	11	2	5	2	48	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales	3
OTU6	36238	0	0	0	0	1	0	1	0	2	6	0	150	16	0	0	26	0	4	5077	5	0	28	284	578	0	6	36	1	45	29	0	10	0	39	0	0	2	1	0	1	0	5	10	0	2	2	2	0	0	0	265	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	12	0	0	1	0	7	6	3	40	3	19	1	13	24	0	7	27	0	3	7	2	2	683	632	1416	2947	3633	35	1	128	345	4	1	358	8302	40	3635	4853	208	4	8	0	26	419	63	0	2	0	1	0	1	8	1025	22	16	2	1	2	46	68	1	5	2	3	202	96	1	1	0	76	6	31	5	30	29	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	7
OTU8	28166	171	1622	146	28	190	90	136	16	465	86	14	1562	1392	726	14	530	11	9	438	146	37	13	136	2175	797	501	521	780	2249	117	42	1	456	15	47	555	15	1	39	0	1	1	2	4	4	0	23	35	76	16	45	15	4	30	5	12	1	0	7	0	1	1	0	4	16	0	19	54	7	87	35	33	98	122	16	71	149	235	79	117	20	11	50	12	39	6	190	23	286	1611	270	492	959	81	51	81	226	113	9	593	698	30	290	172	41	82	58	145	21	95	0	548	137	1030	211	88	106	121	328	190	72	62	17	7	7	46	16	20	77	33	35	3	87	137	165	41	14	22	33	14	30	Bacteria; Acidobacteria; Solibacteres; Solibacterales; PK34	9
OTU10	22169	0	1	0	2	1	0	656	0	2	161	0	1641	503	181	0	780	1	1	9	0	2	6	0	0	0	0	772	5458	156	3	1	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	1	4	0	0	0	0	2	0	1	0	0	0	15	1	0	1	2	1	19	44	8	0	0	0	0	0	161	0	1	0	3	0	4	0	62	1638	2	1	0	12	0	1166	3622	948	705	607	1	3	0	273	2	23	114	899	0	227	1	32	0	1213	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	11
OTU14	13826	0	1	3	0	0	0	324	3	58	12	41	273	224	606	153	1805	50	3	0	0	0	0	0	11	10	0	6	8	0	0	0	1	0	0	0	2	0	0	0	0	0	0	21	5	0	0	1	1	0	4	0	0	0	39	2	0	2	0	1	0	43	0	0	0	1	0	5	2	0	2	0	1	0	0	0	0	4	3	0	5	0	0	6	2	13	10	51	1	0	5	1	222	4	0	0	0	0	0	1	0	0	0	93	0	0	0	2	2	0	1	0	3004	664	4223	374	205	429	7	8	11	637	2	1	3	1	96	0	0	7	0	0	0	2	1	0	0	0	0	0	1	0	Bacteria	15
OTU17	7638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	0	0	0	0	0	1	7	0	4	0	33	0	1	0	0	0	0	0	0	0	0	0	0	161	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	4	0	1	0	0	0	1	33	0	0	0	0	0	0	1	0	0	0	318	0	350	1	0	0	0	0	0	260	5369	0	695	0	230	0	0	1	4	0	8	0	12	0	3	0	1	1	0	0	0	2	0	0	25	0	0	0	2	0	1	0	6	0	0	14	6	8	18	0	36	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; JdFBGBact	18
OTU19	20534	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	6	3	1	0	1	2	1	20441	0	0	0	0	0	0	2	12	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	0	4	1	2	0	0	0	1	2	Bacteria; Cyanobacteria; Chloroplast; Streptophyta	20
OTU20	8881	78	0	53	0	34	3	2	2	228	12	324	0	0	0	1	316	0	0	0	0	0	0	1	17	2	0	152	3	14	0	0	0	6	0	0	0	0	2	0	0	0	0	9	2	0	1	0	0	0	0	0	69	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	0	1	2	0	60	251	57	25	770	203	0	38	1	0	0	1	15	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1829	125	3221	352	212	342	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Chloroflexi; Anaerolineae; SBR1031	21
OTU22	8123	0	3	0	0	0	0	23	0	1	150	0	0	228	0	2	2356	7	0	230	1	0	0	716	346	0	1	0	0	128	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	8	29	3	1	0	0	58	15	1	18	0	309	842	367	624	1	8	1	1	0	0	0	321	634	0	5	1	5	1	0	0	0	0	0	0	0	2	0	0	1	5	0	327	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales	23
OTU23	8846	0	1	0	0	5	0	5	0	3	235	0	41	1	0	4	868	3	0	455	2	0	0	1	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	0	0	0	24	0	2	0	0	1	0	0	0	0	3	0	43	240	6	42	206	55	2	634	15	546	1425	110	0	0	3	1	1	0	3	447	0	125	1	1	0	0	0	0	0	0	0	36	0	0	0	1	168	654	967	731	337	40	0	56	259	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	24
OTU29	6566	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	24	0	0	0	0	0	0	0	1	0	0	0	0	7	1	4	1	1	3	2	15	6	1	4	35	18	6	17	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2553	278	2554	494	237	254	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	Unassigned	30
OTU30	5113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	8	439	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	4	24	0	0	0	1	0	1	0	0	114	425	520	1375	1653	3	0	0	74	0	0	255	99	0	51	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	10	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; koll13	31
OTU31	9422	0	0	11	0	0	0	32	0	1	0	0	0	0	0	1	1	2	1	8	1	1	24	1	31	274	0	0	61	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	15	2	3	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	81	12	6	151	0	1	409	3605	200	524	2030	0	0	4	299	0	0	252	162	0	0	0	20	0	2	0	0	0	0	10	28	0	54	12	199	182	107	125	261	0	8	3	2	0	2	1	0	0	0	2	0	0	0	2	0	19	1	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae	32
OTU32	8100	0	0	1	0	1	0	10	0	3	0	0	826	87	224	2	514	0	1	11	1	0	10	0	308	12	1	46	53	41	11	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	1	4	4	0	18	0	9	0	2	0	0	2	0	8	9	2	11	1342	3294	341	14	464	65	1	67	1	0	0	1	2	0	78	5	0	2	0	11	0	0	0	0	1	0	0	2	2	0	2	0	2	1	0	6	2	18	0	83	13	0	0	2	0	0	0	11	1	0	0	0	2	Unassigned	33
OTU34	5010	9	2082	178	24	283	0	49	0	2	8	0	0	0	0	0	3	0	0	0	0	1	0	3	0	0	0	0	0	41	2	0	1	1	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	57	57	1	0	187	39	2	0	0	0	0	0	1	0	0	2	0	0	0	0	36	9	0	4	5	0	3	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	8	2	0	0	372	0	0	0	0	0	0	0	0	0	0	0	10	5	494	175	46	21	0	698	0	0	0	0	1	2	23	2	3	5	0	0	0	1	0	40	0	0	0	0	0	0	Unassigned	35
OTU35	14935	20	0	88	44	225	478	19	15	5	0	3	0	9	1	6	1	1	5	0	4	2	0	0	10	46	67	1	8	0	4	3	430	4	4	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	454	1317	532	1286	209	886	0	156	1341	822	1525	995	593	591	819	108	270	281	4	6	9	20	4	11	0	9	0	0	0	0	3	0	2	2	1	7	1	4	6	2	2	3	3	4	8	3	3	5	4	1	1	11	4	1	8	4	7	3	8	6	6	11	1	10	1	9	24	15	20	24	11	15	182	101	147	64	142	175	0	3	1	36	21	4	23	2	1	10	0	2	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Psychromonadaceae; Psychromonas	36
OTU36	6395	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	294	158	1	3	152	0	0	0	0	519	0	0	0	0	0	3	0	0	0	0	0	4	0	2	0	0	0	0	22	29	107	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	4	4	0	1	2	0	0	11	0	2	0	4	186	1496	530	1469	655	14	2	22	255	0	3	26	110	0	1	0	41	0	0	1	0	5	0	2	1	0	0	0	0	7	1	0	7	0	0	10	89	73	1	9	1	9	0	1	11	1	0	9	0	0	0	0	10	Unassigned	37
OTU38	6314	0	0	1	0	0	0	0	0	0	0	0	262	0	0	0	0	0	10	2236	8	0	16	808	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	2	64	7	7	4	2	342	79	787	266	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	2	13	14	1	41	286	285	155	118	47	0	0	0	0	0	0	0	0	6	0	230	2	24	0	0	0	0	0	1	0	0	125	0	0	0	1	5	0	0	0	0	3	0	1	0	0	0	4	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Chloroflexi; Anaerolineae; SB-34	39
OTU39	5391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	27	1	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	3	5	0	0	0	3	0	0	0	0	36	0	5	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	11	3	0	2	0	0	0	1	0	11	0	0	0	1	0	1	0	0	5	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2126	133	1318	759	301	132	8	1	0	250	0	0	1	0	24	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	Bacteria; Chloroflexi; Anaerolineae; OPB11	40
OTU41	15465	5	3	12	14	18	37	19	17	26	27	3	17	16	28	75	51	16	8	4	3	1	1	0	54	66	87	21	40	20	32	27	90	52	32	9	17	14	2	6	5	14	4	3	6	2	0	0	0	0	2	3	29	56	155	138	83	36	0	89	77	75	80	76	84	100	49	58	104	31	10	7	18	18	13	22	5	3	3	4	10	1	570	1083	680	697	561	690	21	72	173	39	48	72	36	24	10	33	27	1	20	28	2	8	44	12	11	15	15	3	9	19	682	688	710	528	286	506	421	372	463	859	822	383	142	116	162	290	231	168	4	54	12	21	16	15	18	6	9	4	5	6	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales	42
OTU42	15481	32	30	10	10	18	91	12	12	0	0	0	0	0	0	11	0	0	0	0	0	0	3	0	10	29	68	7	20	1	2	13	182	15	0	0	1	0	0	3	0	0	0	9	5	2	0	0	0	1	0	0	133	762	351	217	437	366	7	84	148	83	143	85	21	22	88	4	14	5	15	8	16	38	37	45	0	2	0	0	1	0	495	715	195	480	768	1172	84	280	407	50	45	92	68	40	38	61	37	0	28	2	0	2	2	0	0	0	1	0	4	5	1076	910	1347	828	391	804	131	65	171	133	74	49	207	130	107	24	118	85	1	2	12	4	2	3	3	0	0	3	0	1	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	43
OTU43	4710	6	2254	1	86	697	0	0	0	2	70	111	174	129	502	11	210	8	0	4	0	1	0	9	1	0	0	0	150	1	3	0	7	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	6	0	0	0	30	1	0	1	3	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	8	17	0	0	1	1	0	0	0	3	2	6	0	1	0	3	3	0	1	0	0	0	0	0	0	2	1	0	0	0	20	1	0	0	0	0	0	56	4	0	55	29	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales	44
OTU46	3209	0	0	0	0	0	0	0	3	0	0	0	426	0	0	0	2	0	0	0	2	0	24	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	127	1178	1430	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales	47
OTU47	7267	103	32	121	138	162	290	43	19	4	11	3	4	5	7	18	4	0	12	3	0	0	0	0	10	16	36	14	12	9	10	4	18	8	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	58	26	5	2	0	11	15	15	40	12	77	138	51	77	73	18	3	2	6	9	16	9	0	9	1	0	3	0	51	65	26	24	36	57	18	26	47	33	53	74	38	21	16	31	32	28	35	0	0	2	1	0	0	4	2	0	1	2	20	25	14	13	10	18	243	189	241	332	363	210	413	365	307	913	479	527	1	14	8	2	7	5	4	1	3	1	1	0	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	48
OTU48	4598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	39	311	3	18	276	20	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	13	749	124	122	604	0	3	1	131	127	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned	49
OTU49	3987	1	0	179	0	1	0	1	4	227	0	1	0	164	0	1	0	2	0	0	0	0	2	1	0	0	0	0	509	364	37	0	0	56	2	26	3	18	17	0	0	0	48	146	295	441	0	0	0	0	1	0	1	0	0	0	78	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	423	10	0	344	0	0	0	0	0	3	7	0	0	0	87	41	1	0	0	5	0	1	374	0	4	2	4	0	0	1	0	2	0	0	0	21	0	2	0	0	0	0	0	0	0	0	0	1	0	6	0	13	Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Marinitoga	50
OTU50	8594	0	0	0	0	1	1	1	0	1	0	0	24	531	0	0	18	0	1	1920	0	0	0	41	6	0	0	3	7	0	2	0	0	0	11	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	2	3	0	0	3	0	2	0	0	0	3	2	28	8	1	0	10	0	40	6	8	0	1	0	5	196	378	779	1227	515	3	0	54	2	0	0	8	1870	8	313	13	69	1	2	0	0	2	0	0	0	0	0	0	0	0	34	2	3	3	0	0	22	52	0	145	0	1	2	180	0	0	0	2	5	1	0	1	2	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	51
OTU51	4857	0	0	0	0	2	0	0	1	1	0	0	0	211	0	0	0	0	0	514	0	0	5	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	22	0	0	100	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	11	0	2	0	614	401	81	646	31	0	0	2	0	3	0	11	0	6	0	0	281	0	0	0	0	1	0	0	73	0	0	0	43	2	0	0	0	1	3	0	2	1	0	0	0	0	0	0	887	0	0	0	0	33	0	281	0	0	0	0	1	0	368	11	0	0	0	1	80	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoidales; Dehalococcoidaceae	52
OTU52	5258	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	548	2817	359	645	0	0	0	61	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales	53
OTU54	9150	388	1	84	2	16	2	69	2	0	0	0	0	0	0	1	334	3	0	1	0	0	0	0	0	0	0	0	433	194	0	10	0	52	0	0	0	0	0	0	0	0	1	3	3	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	22	0	0	0	1	36	0	3	0	62	56	27	85	1133	56	34	1	564	222	2	0	0	0	0	0	1	4	3	92	1	0	0	0	0	2	0	0	0	0	1662	225	961	752	436	174	0	728	27	1	0	0	1	71	82	0	1	0	0	1	0	0	0	0	0	0	0	0	8	0	Bacteria; Chloroflexi; Anaerolineae; SBR1031; SHA-31	55
OTU55	3795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	2	6	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	10	72	74	7	19	0	4	6	84	55	0	1	0	0	22	54	4	5	10	1	10	9	1	5	39	245	87	120	11	1	47	7	4	7	59	9	476	63	114	1	44	0	23	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	993	52	167	336	11	30	20	4	48	50	194	1	2	0	3	0	1	5	1	0	0	7	0	0	5	0	0	1	0	0	Unassigned	56
OTU57	6423	4	2	4	3	2	6	3	2	25	17	5	5	21	19	74	9	4	0	0	0	0	0	0	27	63	54	14	16	6	1	10	79	28	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	48	182	169	108	132	63	2	51	68	41	82	24	19	35	86	7	26	14	6	2	12	12	5	12	0	0	0	0	3	0	81	104	34	58	99	114	21	80	181	33	44	45	19	11	15	21	13	0	3	0	0	0	0	1	0	0	0	0	0	0	335	326	319	273	134	316	131	67	145	157	143	72	281	175	202	51	366	230	0	0	0	0	0	0	0	2	3	2	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	58
OTU58	8076	0	0	0	0	3	0	0	0	1	2	0	0	0	1	2	1	0	0	0	0	0	0	0	13	15	25	8	6	3	4	1	48	13	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	33	180	163	94	230	51	1	34	45	38	53	29	29	62	29	17	26	5	5	4	10	13	6	9	1	1	0	0	4	0	229	375	83	207	155	281	5	27	87	19	19	23	13	10	4	20	3	1	6	1	0	0	3	0	0	4	0	0	2	4	969	835	804	483	251	610	128	143	219	198	274	125	16	4	12	28	42	24	1	0	0	1	1	0	4	1	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales	59
OTU59	3626	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2905	503	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; OD1; ZB2	60
OTU63	8096	14	9	22	7	36	87	305	112	1101	481	244	73	105	65	546	394	61	20	2	1	1	1	0	171	235	313	87	84	37	40	42	24	91	4	6	8	3	2	2	0	4	3	1	7	0	0	0	1	1	0	2	1	1	28	27	0	1	2	6	14	10	12	16	117	171	74	27	43	17	19	7	15	15	13	12	2	3	1	0	8	1	76	125	53	44	64	86	32	90	105	39	36	57	25	14	14	25	10	0	14	25	0	10	25	1	4	23	38	1	41	23	13	16	19	10	3	16	71	82	71	138	178	59	164	90	129	89	170	117	2	4	2	4	4	7	5	3	5	1	3	3	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; OM60	64
OTU64	7274	0	0	1	1	1	7	7	0	2	2	0	8	17	8	10	1	0	0	0	1	0	0	1	21	21	37	9	46	23	37	31	96	70	2	9	7	6	0	3	3	3	2	0	3	0	0	0	0	5	2	2	11	14	178	130	43	17	0	49	101	81	113	53	68	104	49	36	55	35	2	2	4	7	2	4	0	1	0	2	4	0	51	72	17	47	62	110	42	73	60	57	60	84	43	24	13	29	22	0	21	7	0	3	4	3	2	8	4	0	3	3	309	315	298	544	167	330	436	414	355	282	476	185	85	66	91	128	89	71	3	2	4	7	8	2	5	0	0	6	1	1	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfosarcina	65
