OTU_ID	Total_Abund_Otu	FHF1-St1-Gr1-A	FHF1-St1-Gr1-B	FHF1-St1-Gr1-C	FHF1-St1-Gr2-A	FHF1-St2-Gr1-C	FHF1-St2-Gr2-A	FHF1-St2-Gr2-B	FHF1-St3-Gr1-A	FHF1-St3-Gr1-B	FHF1-St3-Gr1-C	FHF1-St3-Gr2-A	FHF1-St3-Gr2-B	FHF1-St3-Gr2-C	FHF1-St4-Gr1-A	FHF1-St4-Gr1-B	FHF1-St4-Gr1-C	FHF1-St4-Gr2-A	FHF1-St4-Gr2-B	FHF1-St4-Gr2-C	FHF2-St1-Gr1-A	FHF2-St1-Gr1-B	FHF2-St1-Gr1-C	FHF2-St1-Gr2-A	FHF2-St1-Gr2-B	FHF2-St1-Gr2-C	FHF2-St2-Gr1-A	FHF2-St2-Gr1-B	FHF2-St2-Gr1-C	FHF2-St2-Gr2-A	FHF2-St2-Gr2-B	FHF2-St2-Gr2-C	FHF2-St3-Gr1-A	FHF2-St3-Gr1-B	FHF2-St3-Gr1-C	FHF2-St3-Gr2-A	FHF2-St3-Gr2-B	FHF2-St3-Gr2-C	FHF2-St4-Gr1-A	FHF2-St4-Gr1-B	FHF2-St4-Gr1-C	FHF2-St4-Gr2-A	FHF2-St4-Gr2-B	FHF2-St4-Gr2-C	FHF2-St5-Gr1-A	FHF2-St5-Gr1-B	FHF2-St5-Gr1-C	FHF2-St5-Gr2-A	FHF2-St5-Gr2-B	FHF2-St5-Gr2-C	FHF3-St1-Gr1-A	FHF3-St1-Gr1-B	FHF3-St1-Gr1-C	FHF3-St1-Gr2-B	FHF3-St1-Gr2-C	FHF3-St2-Gr1-A	FHF3-St2-Gr1-B	FHF3-St2-Gr1-C	FHF3-St2-Gr2-A	FHF3-St2-Gr2-B	FHF3-St3-Gr1-B	FHF3-St3-Gr1-C	FHF3-St3-Gr2-A	FHF3-St3-Gr2-C	FHF3-St4-Gr1-B	FHF3-St4-Gr1-C	FHF3-St4-Gr2-A	FHF3-St4-Gr2-B	FHF3-St4-Gr2-C	FHF3-St5-Gr1-A	FHF3-St5-Gr1-B	FHF3-St5-Gr1-C	FHF3-St5-Gr2-A	FHF3-St5-Gr2-B	FHF3-St5-Gr2-C	FHF4-St1-Gr1-C	FHF4-St1-Gr2-C	FHF4-St2-Gr1-A	FHF4-St2-Gr1-B	FHF4-St2-Gr1-C	FHF4-St2-Gr2-A	FHF4-St2-Gr2-B	FHF4-St2-Gr2-C	FHF4-St3-Gr1-A	FHF4-St3-Gr1-B	FHF4-St3-Gr1-C	FHF4-St3-Gr2-B	FHF4-St3-Gr2-C	FHF4-St4-Gr1-A	FHF4-St4-Gr1-B	FHF4-St4-Gr1-C	FHF4-St4-Gr2-A	FHF4-St4-Gr2-B	FHF4-St4-Gr2-C	FHF4-St5-Gr1-A	FHF4-St5-Gr1-C	FHF4-St5-Gr2-A	FHF4-St5-Gr2-B	FHF4-St5-Gr2-C	FHF5-St1-Gr1-A	FHF5-St1-Gr2-A	FHF5-St1-Gr2-B	FHF5-St1-Gr2-C	FHF5-St2-Gr1-A	FHF5-St2-Gr1-B	FHF5-St2-Gr1-C	FHF5-St2-Gr2-B	FHF5-St3-Gr1-A	FHF5-St3-Gr1-B	FHF5-St3-Gr1-C	FHF5-St3-Gr2-B	FHF5-St3-Gr2-C	FHF5-St4-Gr1-A	FHF5-St4-Gr1-B	FHF5-St4-Gr1-C	FHF5-St4-Gr2-A	FHF5-St4-Gr2-B	FHF5-St4-Gr2-C	FHF5-St5-Gr1-A	FHF5-St5-Gr1-B	FHF5-St5-Gr1-C	FHF5-St5-Gr2-A	FHF5-St5-Gr2-B	FHF5-St5-Gr2-C	Taxa	
OTU10	171883	0	0	0	0	0	0	0	13	46	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0	43	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	3	0	0	0	1	1	0	0	0	0	0	0	0	29	0	0	52	3	0	0	0	0	0	0	5	156	0	154	0	13	4	0	1	48	0	0	0	0	0	0	0	0	0	1	166787	0	0	0	2410	0	352	1313	44	69	7	20	107	93	22	35	Unassigned	
OTU11	162014	1291	33	1440	839	420	2287	6386	240	202	82	316	672	589	631	0	81	46	19	0	369	181	36	160	152	189	331	3	708	35	1	12	367	608	47	132	52	219	158	389	79	182	53	30	134	9	180	14	78	118	7337	5190	3500	1141	687	518	2614	10231	9853	6163	2895	7268	26728	15097	437	75	162	67	87	693	538	296	67	41	501	4073	1444	769	1411	734	343	487	1808	153	258	47	82	18	96	371	106	107	84	511	5	38	26	38	8	1583	7033	1512	1495	2825	334	52	585	3841	307	1956	4	1799	119	861	196	10	126	137	130	228	439	279	180	180	Globothalamea;Rotaliida;Clade3;Cibicidoides;lobatulus	
OTU12	191708	1	0	105	20	0	11	243	63	1	10	0	0	1	3249	3389	618	225	258	742	110	66	84	109	63	1869	2	4	58	51	1	14	594	402	293	683	445	1243	878	4089	752	693	913	2260	773	1064	2164	90	1370	3441	1	156	0	0	0	0	1	38	0	11	0	2	0	6	19400	4652	16125	35246	19235	3291	9768	8503	2609	4538	6056	2	208	162	65	1	41	0	115	132	46	37	40	1	483	1631	1685	1585	1665	570	81	1546	3462	4209	156	3	5	6	178	30	0	0	1	18	79	1593	13	2221	1157	2	267	88	10	3	544	55	2589	767	558	446	Globothalamea;Textulariida;Hormosinidae;Reophax;sp;XX000000-14081.1-Eilat	
OTU13	141198	1015	86	5805	296	663	197	7808	231	605	33	95	1388	52	30	0	58	0	8	23	84	55	45	132	34	72	38	1	260	97	1	4	166	65	0	58	16	11	100	4	6	66	92	89	31	16	44	5	39	188	583	479	744	41	129	40	96	363	12	814	330	1075	3	16	4	31	11	39	220	0	0	1	15	0	0	1438	9	364	42	1416	46	299	154	24	636	23	54	0	95	33	12	24	31	0	2	7	22	42	6	2934	78299	468	2036	851	58	633	1	21757	1	1128	157	1614	300	1	252	20	0	31	87	46	47	196	144	100	Globothalamea;Rotaliida;Rosalinidae;Aubignina;sp;FJ705892-F20-Bergen	
OTU14	136825	31	1	74	128	86	159	443	122	83	7	37	257	74	26	3	5	9	2	9	38	39	24	10	15	78	13	5	101	19	0	3	32	38	40	17	15	7	267	38	0	4	23	10	0	0	1	3	4	5	1	59	0	8	76	29	138	0	0	0	306	164	2	371	178	122853	48	207	68	31	14	16	3	2	0	0	132	551	110	173	111	100	276	77	2515	20	109	9	187	203	183	105	84	839	7	60	38	148	12	0	85	29	299	72	58	126	0	477	264	486	2	2	4	7	351	188	120	170	108	179	208	162	70	330	Globothalamea;Rotaliida;Clade3;Epistominella;vitrea	
OTU15	130753	334	5	280	575	194	1071	2368	442	264	114	391	662	463	96	26	20	30	23	102	356	172	134	595	84	377	177	24	280	68	0	15	264	180	116	58	79	109	514	414	153	26	52	94	7	5	33	2	21	23	590	663	805	408	145	97	216	2380	931	438	695	1045	2755	1145	2470	29468	213	627	425	176	25	35	8	13	48	1727	125	1255	728	348	401	637	806	234	34059	112	374	65	857	675	634	645	283	3028	24	408	243	453	40	543	654	169	191	343	484	470	93	850	186	6004	677	581	528	402	509	483	322	387	392	470	8632	411	257	841	Globothalamea;Rotaliida;Clade3;Epistominella;vitrea	
OTU16	169025	710	28	1080	790	283	1712	7865	2881	2491	350	822	2591	887	15480	11864	12079	728	3389	5279	26	53	9	56	7	549	12	0	81	22	1	0	1576	883	715	819	1136	1626	5750	3644	1777	14208	9106	9155	1389	977	1593	294	5777	11085	1	2	2	1	0	1	1	0	3	1	0	2	0	6	3	9	0	8	3	57	34	128	5	5	79	699	46	376	234	730	209	351	861	127	189	53	95	18	370	719	496	451	536	2153	13	580	450	874	76	7	198	53	93	162	28	0	0	1872	341	1159	571	375	834	462	1268	637	923	796	463	661	681	853	531	1365	Unassigned	
OTU17	100969	555	67	304	960	461	870	1029	779	313	124	186	606	175	682	2	176	18	44	132	786	349	70	421	83	396	185	19	902	58	1	20	428	255	65	30	153	154	357	170	10	59	28	32	17	39	43	9	83	137	1532	178	859	149	91	193	589	1242	386	113	357	1924	8539	9751	225	53	92	151	144	194	560	1289	157	232	547	0	127	2421	1696	369	151	574	504	172	139	132	86	31	285	377	172	324	590	9020	7	37	95	131	10	772	567	124	649	376	136	143	1209	4628	1699	5158	2642	2836	2844	631	193	1774	4106	6538	695	464	250	453	314	1929	Globothalamea;Rotaliida;Buliminidae;Stainforthia	
OTU18	110535	574	34	641	867	287	1088	5319	1456	1488	236	442	1536	627	10591	7579	7311	466	2019	3433	18	58	11	75	2	375	33	0	78	11	1	2	742	589	460	473	650	871	4569	2447	1322	8633	5173	5541	989	825	1100	199	4088	7359	0	0	2	0	0	0	0	0	334	63	0	1	1	1	3	4	1	20	0	1	14	49	4	14	6	1250	133	346	62	179	188	370	582	80	95	37	63	19	251	589	257	350	246	1313	9	376	339	578	50	1	20	93	11	18	29	0	0	1033	516	1	584	1	1255	212	1449	412	267	354	427	408	511	658	441	866	Unassigned	
OTU19	102718	1	0	0	1	0	0	3	0	0	0	0	1	4	12	1	0	1	1	0	1	3	6	16	4	2009	1	0	173	18	1	5	0	3	4	7	5	0	2	0	0	0	32	2	0	0	1	0	3	10	0	0	0	33	0	0	0	4	0	0	0	0	0	1	1460	549	1445	2721	1714	0	0	1	23	34	50	1	0	535	261	0	157	1000	1097	241	90	278	149	20	6432	8972	13578	6423	7900	4592	180	2584	8629	7636	385	0	2	32	90	0	0	0	0	0	1	0	0	2	1239	254	346	65	31	164	966	2414	9658	2732	1938	1278	Unassigned	
